Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675892129.3132274,0,77729,0,GPS1_Frame,42.338705,71.08835833333333,31.9,672036.2679060674,4689495.489202027,42.0,T
1675892130.2950149,0,77730,0,GPS1_Frame,42.338705,71.08835833333333,31.9,672036.2679060674,4689495.489202027,42.0,T
1675892131.2952154,0,77731,0,GPS1_Frame,42.33870833333334,71.088355,31.5,672035.9842083775,4689495.852599125,42.0,T
1675892132.5021875,0,77732,0,GPS1_Frame,42.338710000000006,71.088355,31.1,672035.9796631231,4689496.037669793,42.0,T
1675892133.2938666,0,77733,0,GPS1_Frame,42.33871166666666,71.088355,31.1,672035.9751178685,4689496.222740459,42.0,T
1675892134.293998,0,77734,0,GPS1_Frame,42.338718333333325,71.08835833333333,30.6,672036.2315439718,4689496.969767366,42.0,T
1675892135.2949257,0,77735,0,GPS1_Frame,42.338725000000004,71.08836166666667,30.0,672036.4879700189,4689497.716794285,42.0,T
1675892136.2940755,0,77736,0,GPS1_Frame,42.33873333333333,71.08836333333333,29.5,672036.6025471941,4689498.645519751,42.0,T
1675892137.5019639,0,77737,0,GPS1_Frame,42.33873666666667,71.08836666666666,28.8,672036.8680636899,4689499.022405352,42.0,T
1675892138.3128116,0,77738,0,GPS1_Frame,42.338741666666664,71.08837,27.8,672037.129034864,4689499.584361632,42.0,T
1675892139.2949648,0,77739,0,GPS1_Frame,42.33874666666667,71.08837333333332,27.1,672037.3900059955,4689500.146317924,42.0,T
1675892140.2948196,0,77739,0,GPS1_Frame,42.33875,71.08837833333334,26.5,672037.7928258823,4689500.526575711,42.0,T
1675892141.2929416,0,77740,0,GPS1_Frame,42.33876166666667,71.08838333333333,25.9,672038.1729191208,4689501.832186867,42.0,T
1675892142.5010586,0,77741,0,GPS1_Frame,42.338776666666675,71.08838999999999,25.7,672038.6812249688,4689503.511311562,42.0,T
1675892143.295896,0,77742,0,GPS1_Frame,42.33879,71.088395,25.5,672039.0567724924,4689505.0019934485,42.0,T
1675892144.2955947,0,77743,0,GPS1_Frame,42.33880166666666,71.08840166666667,25.4,672039.5741685736,4689506.310976887,42.0,T
1675892145.2959619,0,77745,0,GPS1_Frame,42.338813333333334,71.088405,25.5,672039.8169577301,4689507.613215971,42.0,T
1675892146.2950287,0,77746,0,GPS1_Frame,42.33881833333333,71.08840833333333,25.4,672040.0779283023,4689508.175172384,42.0,T
1675892147.5024831,0,77747,0,GPS1_Frame,42.338825,71.08841166666666,25.7,672040.3343534415,4689508.92219948,42.0,T
1675892148.2956226,0,77748,0,GPS1_Frame,42.33882833333334,71.08841333333334,25.7,672040.4625659895,4689509.295713034,42.0,T
1675892149.314426,0,77749,0,GPS1_Frame,42.338831666666664,71.088415,25.8,672040.5907785182,4689509.669226588,42.0,T
1675892150.3134131,0,77750,0,GPS1_Frame,42.33883333333333,71.08841666666667,25.8,672040.7235364359,4689509.8576694755,42.0,T
1675892151.3141067,0,77751,0,GPS1_Frame,42.338835,71.08842,25.7,672040.993597654,4689510.0494845845,42.0,T
1675892152.5216177,0,77752,0,GPS1_Frame,42.33883666666667,71.08842166666666,25.7,672041.1263555512,4689510.237927481,42.0,T
1675892153.2919474,0,77753,0,GPS1_Frame,42.33884,71.088425,25.6,672041.3918713254,4689510.614813278,42.0,T
1675892154.2952569,0,77754,0,GPS1_Frame,42.33884166666667,71.08842666666666,25.5,672041.5246292003,4689510.803256182,42.0,T
