Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675891250.288373,0,76849,0,GPS1_Frame,42.337180000000004,71.09001666666667,14.2,672177.0471452185,4689329.506138481,42.0,T
1675891251.3050752,0,76851,0,GPS1_Frame,42.337180000000004,71.09001666666667,14.2,672177.0471452185,4689329.506138481,42.0,T
1675891252.5118105,0,76852,0,GPS1_Frame,42.337180000000004,71.09001666666667,14.2,672177.0471452185,4689329.506138481,42.0,T
1675891253.30723,0,76853,0,GPS1_Frame,42.337180000000004,71.09001666666667,14.2,672177.0471452185,4689329.506138481,42.0,T
1675891254.3083873,0,76854,0,GPS1_Frame,42.337180000000004,71.09001666666667,14.2,672177.0471452185,4689329.506138481,42.0,T
1675891255.2882977,0,76855,0,GPS1_Frame,42.337180000000004,71.09001666666667,14.2,672177.0471452185,4689329.506138481,42.0,T
1675891256.2908957,0,76856,0,GPS1_Frame,42.337180000000004,71.09001666666667,14.2,672177.0471452185,4689329.506138481,42.0,T
1675891257.4992657,0,76857,0,GPS1_Frame,42.337180000000004,71.09001666666667,14.2,672177.0471452185,4689329.506138481,42.0,T
1675891258.310409,0,76858,0,GPS1_Frame,42.337180000000004,71.09001666666667,14.2,672177.0471452185,4689329.506138481,42.0,T
1675891259.2888677,0,76859,0,GPS1_Frame,42.33718166666666,71.09001666666667,14.2,672177.042596478,4689329.691209122,42.0,T
1675891260.30778,0,76860,0,GPS1_Frame,42.33718166666666,71.09001666666667,14.2,672177.042596478,4689329.691209122,42.0,T
1675891261.2905843,0,76861,0,GPS1_Frame,42.33718166666666,71.09001666666667,14.2,672177.042596478,4689329.691209122,42.0,T
1675891262.4977107,0,76862,0,GPS1_Frame,42.33718166666666,71.09001666666667,14.2,672177.042596478,4689329.691209122,42.0,T
1675891263.3037846,0,76863,0,GPS1_Frame,42.33718166666666,71.09001666666667,14.2,672177.042596478,4689329.691209122,42.0,T
1675891264.286368,0,76864,0,GPS1_Frame,42.33718166666666,71.09001833333333,14.0,672177.1799034011,4689329.694583908,42.0,T
1675891265.3050218,0,76865,0,GPS1_Frame,42.33718333333333,71.09001833333333,14.0,672177.1753546568,4689329.879654552,42.0,T
1675891266.287227,0,76866,0,GPS1_Frame,42.33718333333333,71.09001833333333,14.0,672177.1753546568,4689329.879654552,42.0,T
1675891267.4937994,0,76866,0,GPS1_Frame,42.33718333333333,71.09001833333333,14.0,672177.1753546568,4689329.879654552,42.0,T
1675891268.2871768,0,76867,0,GPS1_Frame,42.33718333333333,71.09001833333333,14.0,672177.1753546568,4689329.879654552,42.0,T
1675891269.2865276,0,76868,0,GPS1_Frame,42.33718333333333,71.09001833333333,14.0,672177.1753546568,4689329.879654552,42.0,T
1675891270.287066,0,76869,0,GPS1_Frame,42.33718333333333,71.09001833333333,14.0,672177.1753546568,4689329.879654552,42.0,T
1675891271.286299,0,76870,0,GPS1_Frame,42.33718333333333,71.09001833333333,14.0,672177.1753546568,4689329.879654552,42.0,T
1675891272.4935093,0,76872,0,GPS1_Frame,42.33718333333333,71.09001833333333,14.0,672177.1753546568,4689329.879654552,42.0,T
1675891273.2880697,0,76873,0,GPS1_Frame,42.33718333333333,71.09001833333333,14.0,672177.1753546568,4689329.879654552,42.0,T
1675891274.287293,0,76874,0,GPS1_Frame,42.33718333333333,71.09001833333333,14.0,672177.1753546568,4689329.879654552,42.0,T
1675891275.2861779,0,76875,0,GPS1_Frame,42.337185,71.09002000000001,14.1,672177.3081128283,4689330.068099985,42.0,T
1675891276.2869084,0,76876,0,GPS1_Frame,42.337185,71.09002000000001,14.1,672177.3081128283,4689330.068099985,42.0,T
1675891277.4941463,0,76877,0,GPS1_Frame,42.337185,71.09002000000001,14.1,672177.3081128283,4689330.068099985,42.0,T
1675891278.2897127,0,76878,0,GPS1_Frame,42.337185,71.09002000000001,14.1,672177.3081128283,4689330.068099985,42.0,T
1675891279.29003,0,76879,0,GPS1_Frame,42.337185,71.09002000000001,14.0,672177.3081128283,4689330.068099985,42.0,T
1675891280.3097093,0,76880,0,GPS1_Frame,42.337185,71.09002000000001,14.0,672177.3081128283,4689330.068099985,42.0,T
1675891281.2911994,0,76881,0,GPS1_Frame,42.337185,71.09002000000001,14.0,672177.3081128283,4689330.068099985,42.0,T
1675891282.4982972,0,76882,0,GPS1_Frame,42.337185,71.09002000000001,14.0,672177.3081128283,4689330.068099985,42.0,T
1675891283.29026,0,76882,0,GPS1_Frame,42.337185,71.09002000000001,14.0,672177.3081128283,4689330.068099985,42.0,T
1675891284.2912724,0,76883,0,GPS1_Frame,42.337185,71.09002000000001,14.0,672177.3081128283,4689330.068099985,42.0,T
1675891285.3091486,0,76884,0,GPS1_Frame,42.337185,71.09002000000001,14.0,672177.3081128283,4689330.068099985,42.0,T
1675891286.2905474,0,76885,0,GPS1_Frame,42.33718666666667,71.09002333333333,13.9,672177.5781779068,4689330.259920212,42.0,T
1675891287.4985027,0,76887,0,GPS1_Frame,42.33718666666667,71.09002333333333,13.9,672177.5781779068,4689330.259920212,42.0,T
1675891288.3085933,0,76888,0,GPS1_Frame,42.33718666666667,71.09002333333333,13.9,672177.5781779068,4689330.259920212,42.0,T
1675891289.3093297,0,76889,0,GPS1_Frame,42.33718666666667,71.09002333333333,13.9,672177.5781779068,4689330.259920212,42.0,T
1675891290.30906,0,76890,0,GPS1_Frame,42.33718666666667,71.09002333333333,13.9,672177.5781779068,4689330.259920212,42.0,T
